OBJECTID,JURISDICTI,CITY,Acres,OCSurveyDBOCityBoundariesArea
1,ORANGE,ORANGE,16501.3252501,718794852.705
2,ORANGE CO,UNINCORPORATED,103.03027657,4487980.89559
3,SANTA ANA,SANTA ANA,17505.1992611,762523429.711
4,FULLERTON,FULLERTON,14365.8648045,625774567.779
5,ANAHEIM,ANAHEIM,32557.7868171,1418211520.89
6,LAGUNA NIGUEL,LAGUNA NIGUEL,9463.81183361,412241994.499
7,SEAL BEACH,SEAL BEACH,7471.59956178,325461575.061
8,TUSTIN,TUSTIN,7123.45055615,310296265.037
9,BREA,BREA,7820.65791833,340666496.252
10,MISSION VIEJO,MISSION VIEJO,11523.2858833,501952325.263
11,GARDEN GROVE,GARDEN GROVE,11470.5169461,499653719.551
12,NEWPORT BEACH,NEWPORT BEACH,16517.008051,719477992.781
13,ORANGE CO,UNINCORPORATED,32.84443769,1430697.98291
14,ORANGE CO,UNINCORPORATED,32.46986423,1414381.62831
15,ORANGE CO,UNINCORPORATED,31.5946102,1376255.7152
16,ORANGE CO,UNINCORPORATED,101.66798393,4428639.66528
17,ORANGE CO,UNINCORPORATED,98.78670642,4303131.71925
19,ORANGE CO,UNINCORPORATED,75.88964292,3305739.62259
20,ORANGE CO,UNINCORPORATED,54.75819701,2385257.52081
21,ORANGE CO,UNINCORPORATED,50.35784855,2193579.10866
22,SAN CLEMENTE,SAN CLEMENTE,11744.1789139,511574387.184
23,COSTA MESA,COSTA MESA,10129.4104529,441235354.381
24,LAKE FOREST,LAKE FOREST,10742.2218216,467929310.826
25,ORANGE CO,UNINCORPORATED,3485.0221973,151806959.685
26,LAGUNA BEACH,LAGUNA BEACH,5656.01266731,246374926.285
27,WESTMINSTER,WESTMINSTER,6444.98453743,280742403.477
28,BUENA PARK,BUENA PARK,6752.25975838,294127258.562
29,VILLA PARK,VILLA PARK,1330.19105072,57942890.3971
30,ORANGE CO,UNINCORPORATED,4608.25458001,200734766.564
31,ORANGE CO,UNINCORPORATED,4474.90556193,194926106.571
32,PLACENTIA,PLACENTIA,4237.75090613,184595691.086
33,CYPRESS,CYPRESS,4237.80317619,184597967.961
34,LOS ALAMITOS,LOS ALAMITOS,2618.00968772,114040045.836
35,STANTON,STANTON,1987.19601731,86561912.2653
36,ORANGE CO,UNINCORPORATED,394.01906985,17163402.0289
37,ORANGE CO,UNINCORPORATED,296.8538938,12930903.8903
38,ORANGE CO,UNINCORPORATED,529.35363083,23058551.9245
39,ORANGE CO,UNINCORPORATED,465.2711383,20267129.7157
40,LA PALMA,LA PALMA,1154.84744478,50304953.4742
41,ORANGE CO,UNINCORPORATED,988.3672648,43053105.8419
42,ORANGE CO,UNINCORPORATED,493.46498538,21495248.7819
43,ORANGE CO,UNINCORPORATED,40.77121043,1775986.82229
44,ORANGE CO,UNINCORPORATED,39.0177441,1699606.13452
45,RANCHO SANTA MARGARITA,RANCHO SANTA MARGARITA,8278.51688639,360610753.124
46,ALISO VIEJO,ALISO VIEJO,4429.71847152,192957764.786
47,ORANGE CO,UNINCORPORATED,100.04313093,4357861.35165
48,ORANGE CO,UNINCORPORATED,21.36279613,930559.677417
49,ORANGE CO,UNINCORPORATED,136.41080871,5942031.0593
50,ORANGE CO,UNINCORPORATED,298.58662528,13006381.3717
51,ORANGE CO,UNINCORPORATED,58.61407803,2553219.02612
52,ORANGE CO,UNINCORPORATED,6.20000625,270071.192133
53,ORANGE CO,UNINCORPORATED,1483.56087374,64623653.043
54,HUNTINGTON BEACH,HUNTINGTON BEACH,17423.5302406,758965941.408
55,ORANGE CO,UNINCORPORATED,248.38035601,10819405.03
56,ORANGE CO,UNINCORPORATED,187.2503849,8156594.13989
57,ORANGE CO,UNINCORPORATED,146.6165422,6386591.03195
60,TUSTIN,TUSTIN,1.14560596,49902.3961365
62,TUSTIN,TUSTIN,1.79919116,78372.4535556
63,ORANGE CO,UNINCORPORATED,27.2813512,1188370.90472
67,ORANGE CO,UNINCORPORATED,21.14107419,920901.50812
68,ORANGE CO,UNINCORPORATED,10.56627487,460265.092199
