Fact,"Garden Grove city, California","Fullerton city, California","Fountain Valley city, California","Dana Point city, California","Cypress city, California","Laguna Beach city, California","La Palma city, California","La Habra city, California","Irvine city, California","Huntington Beach city, California","Yorba Linda city, California","Westminster city, California","Villa Park city, California","Tustin city, California","Los Alamitos city, California","Lake Forest city, California","Laguna Woods city, California","Laguna Niguel city, California","Laguna Hills city, California","Rancho Santa Margarita city, California","Placentia city, California","Orange city, California","Newport Beach city, California","Mission Viejo city, California","Costa Mesa city, California","Buena Park city, California","Brea city, California","Anaheim city, California","Aliso Viejo city, California","Stanton city, California","Seal Beach city, California","Santa Ana city, California","San Juan Capistrano city, California","San Clemente city, California"
Population,"170,883","135,161","55,313","33,351","47,802","22,723","15,568","60,239","212,375","189,992","64,234","89,701","5,812","75,540","11,449","77,264","16,192","62,979","30,344","47,853","50,533","136,416","85,186","93,305","109,960","80,530","39,282","336,265","47,823","38,186","24,168","324,528","34,593","63,522"
% Persons under 5 years,5.30%,6.30%,4.50%,4.90%,4.60%,3.40%,4.30%,7.20%,6.40%,5.20%,5.10%,4.30%,2.40%,7.60%,5.50%,6.30%,0.00%,4.90%,5.90%,7.00%,6.20%,6.00%,3.90%,5.00%,5.70%,6.30%,7.20%,6.60%,6.70%,7.20%,3.70%,7.50%,6.10%,4.60%
% Persons under 18 years,21.70%,21.80%,19.80%,17.50%,22.20%,16.00%,17.50%,24.30%,22.40%,19.60%,23.40%,19.50%,19.10%,25.10%,22.30%,21.80%,0.10%,20.00%,20.70%,26.10%,23.70%,21.70%,17.40%,19.70%,20.30%,22.90%,23.20%,24.50%,24.60%,25.80%,12.60%,27.10%,24.20%,21.40%
% Persons 65 years and over,13.40%,13.00%,19.20%,21.70%,14.90%,23.30%,18.20%,12.50%,9.90%,16.90%,17.40%,17.70%,27.80%,9.90%,16.00%,13.00%,82.80%,17.20%,16.30%,8.00%,14.50%,12.00%,22.70%,19.10%,10.70%,12.40%,14.00%,11.10%,8.30%,11.30%,39.30%,8.60%,18.70%,17.40%
% Female persons,50.00%,50.40%,51.30%,51.80%,51.30%,50.00%,50.90%,51.40%,51.20%,49.60%,51.40%,50.60%,51.80%,50.50%,52.30%,50.80%,64.20%,51.20%,51.20%,51.40%,50.70%,50.40%,51.00%,50.50%,49.60%,50.40%,51.80%,50.70%,52.70%,50.70%,53.20%,49.10%,52.10%,50.40%
% White alone,40.00%,56.10%,54.40%,82.80%,53.30%,90.80%,38.50%,57.50%,47.60%,72.40%,73.00%,38.60%,80.40%,46.00%,63.20%,67.30%,78.10%,75.60%,70.00%,77.10%,71.40%,70.70%,85.30%,78.70%,71.60%,51.20%,67.50%,67.30%,71.00%,53.20%,79.50%,44.20%,72.00%,82.10%
% Black or African American alone,1.00%,2.70%,0.60%,1.30%,3.80%,0.80%,5.70%,1.00%,1.90%,1.40%,1.50%,0.90%,0.60%,2.70%,6.00%,2.20%,0.40%,1.80%,1.80%,2.90%,1.70%,1.80%,0.80%,1.00%,1.90%,3.00%,1.90%,2.50%,2.00%,1.40%,2.20%,1.10%,0.90%,0.70%
% American Indian and Alaska Native alone,0.50%,0.40%,0.30%,0.40%,0.40%,0.10%,0.60%,0.60%,0.20%,0.60%,0.20%,0.50%,0.00%,0.30%,0.00%,1.20%,0.00%,0.40%,0.20%,0.40%,0.80%,0.50%,0.30%,0.30%,0.40%,0.70%,0.80%,0.40%,0.50%,1.30%,0.40%,0.60%,0.60%,0.30%
% Asian alone,40.50%,24.60%,34.90%,3.20%,34.30%,3.70%,47.00%,12.10%,42.30%,12.10%,18.90%,49.40%,12.80%,21.60%,14.70%,17.10%,19.40%,10.20%,15.00%,10.70%,17.40%,11.90%,8.30%,11.10%,8.40%,31.30%,20.60%,16.70%,15.00%,27.00%,10.50%,11.80%,2.50%,3.90%
% Native Hawaiian and Other Pacific Islander alone,0.20%,0.40%,0.30%,0.10%,0.40%,0.30%,0.60%,0.00%,0.20%,0.40%,0.10%,0.20%,0.00%,0.30%,0.20%,0.10%,0.00%,0.30%,0.00%,0.10%,0.20%,0.10%,0.20%,0.10%,0.70%,0.90%,0.20%,0.40%,0.10%,0.90%,0.30%,0.20%,0.20%,0.90%
% Two or More Races,2.10%,4.90%,4.70%,3.60%,4.80%,2.80%,4.80%,4.50%,5.20%,5.40%,4.70%,3.40%,2.90%,5.00%,9.60%,4.90%,1.00%,5.70%,6.70%,5.30%,3.50%,3.40%,3.10%,5.20%,4.00%,3.90%,4.20%,3.30%,6.60%,3.70%,4.70%,1.90%,3.90%,4.80%
% Hispanic or Latino,37.00%,37.20%,15.80%,17.70%,19.50%,7.40%,17.50%,59.50%,10.30%,20.00%,17.30%,22.80%,12.80%,41.80%,26.00%,22.70%,5.10%,17.10%,21.00%,20.70%,39.40%,38.20%,9.00%,17.50%,36.10%,38.40%,30.70%,54.00%,19.10%,49.20%,12.30%,76.80%,36.30%,17.10%
"% White alone, not Hispanic or Latino",19.80%,32.30%,45.40%,74.50%,37.90%,84.70%,25.60%,26.00%,40.70%,61.80%,58.80%,24.70%,70.40%,30.60%,46.60%,54.00%,73.80%,66.10%,58.50%,61.90%,39.10%,45.40%,79.50%,66.30%,49.80%,24.40%,43.60%,24.80%,59.40%,19.20%,71.10%,9.40%,57.70%,73.40%
% Foreign born persons,44.70%,30.10%,29.70%,14.20%,29.00%,13.00%,35.10%,28.50%,40.40%,16.20%,19.50%,45.50%,17.40%,33.40%,16.60%,24.30%,35.20%,21.80%,26.40%,16.70%,24.10%,23.20%,14.30%,19.70%,24.80%,36.50%,19.20%,36.60%,21.60%,43.80%,15.70%,44.50%,20.60%,12.70%
Owner-occupied housing unit rate,53.30%,51.70%,68.80%,61.40%,66.30%,63.20%,68.60%,56.90%,47.30%,57.80%,82.40%,52.60%,94.50%,48.00%,41.10%,69.50%,74.40%,70.00%,71.70%,71.10%,64.80%,57.40%,56.50%,77.00%,39.10%,56.50%,62.10%,45.20%,60.50%,47.60%,76.00%,46.20%,74.90%,66.30%
Median value of owner-occupied housing units,"$519,600 ","$625,800 ","$688,000 ","$861,600 ","$605,600 ","$1,700,400 ","$634,900 ","$505,800 ","$797,100 ","$728,200 ","$829,700 ","$581,900 ","$1,156,600 ","$618,500 ","$755,000 ","$621,000 ","$278,300 ","$795,300 ","$688,200 ","$652,400 ","$609,400 ","$635,500 ","$1,787,300 ","$668,800 ","$707,600 ","$540,200 ","$635,400 ","$538,700 ","$610,600 ","$360,800 ","$358,700 ","$455,300 ","$678,200 ","$881,000 "
Median gross rent,"$1,480 ","$1,563 ","$1,932 ","$2,007 ","$1,834 ","$2,230 ","$1,706 ","$1,483 ","$2,259 ","$1,832 ","$1,952 ","$1,489 ","$3,493 ","$1,765 ","$1,800 ","$1,949 ","$1,695 ","$2,181 ","$2,014 ","$1,953 ","$1,731 ","$1,735 ","$2,175 ","$2,194 ","$1,786 ","$1,586 ","$1,794 ","$1,569 ","$2,180 ","$1,441 ","$1,848 ","$1,488 ","$1,998 ","$1,843 "
Households,"48,031","45,782","18,597","14,561","15,824","10,542","4,922","18,660","95,371","76,821","22,366","27,529","1,993","26,132","4,184","28,713","11,156","25,360","10,555","17,290","16,577","42,969","37,870","33,358","41,019","23,443","14,992","100,615","18,667","10,910","12,500","76,521","12,396","24,530"
Persons per household,3.58,2.98,3,2.32,3.08,2.19,3.19,3.29,2.7,2.6,3.02,3.31,2.94,3.03,2.73,2.87,1.45,2.57,2.91,2.82,3.11,3.09,2.27,2.83,2.71,3.49,2.82,3.43,2.71,3.51,1.93,4.3,2.89,2.64
% Language other than English spoken at home,67.30%,46.80%,40.50%,16.70%,38.50%,11.90%,45.60%,47.30%,50.20%,22.60%,24.80%,63.40%,20.70%,53.90%,22.40%,32.00%,29.60%,25.60%,32.80%,21.10%,37.50%,39.50%,17.00%,24.30%,38.70%,56.10%,29.60%,60.80%,29.10%,68.00%,16.10%,80.60%,33.10%,17.90%
% Households with a computer,92.30%,94.30%,95.40%,96.20%,96.00%,96.10%,93.80%,94.30%,97.50%,94.10%,96.80%,90.40%,96.60%,96.30%,95.30%,96.30%,84.30%,97.00%,95.80%,97.00%,94.80%,94.20%,95.70%,96.10%,94.40%,93.20%,95.30%,93.00%,97.50%,89.90%,87.80%,90.80%,92.90%,95.40%
% Households with a broadband Internet subscription,84.60%,89.00%,90.20%,91.70%,89.60%,91.90%,89.60%,87.70%,92.90%,88.50%,94.50%,84.40%,95.70%,89.80%,90.30%,92.90%,76.90%,94.20%,91.90%,94.60%,91.30%,90.50%,92.00%,93.40%,88.50%,87.30%,92.60%,87.70%,96.10%,83.50%,83.20%,81.30%,88.90%,91.00%
% High school graduate or higher (Age 25+),74.30%,87.10%,90.60%,94.20%,92.90%,97.70%,91.90%,82.90%,96.40%,92.50%,95.50%,77.90%,93.60%,84.60%,90.70%,92.30%,95.20%,95.30%,92.30%,95.60%,86.40%,85.90%,98.00%,94.00%,84.90%,83.80%,93.80%,77.10%,95.90%,70.00%,94.90%,58.10%,84.40%,94.30%
